ingresos_mensuales,deuda_activa,historial_pagos,antiguedad_laboral,creditos_activos,monto_solicitado,atrasos_previos,dependientes_economicos,utilizacion_credito,en_riesgo
4500,8000,35,1,3,25000,4,3,95,1
25000,0,95,10,0,50000,0,2,10,0
3500,1500,60,2,2,8000,1,0,55,0
5000,12000,20,0,4,15000,5,4,99,1
18000,4000,75,7,2,30000,0,2,45,0
-2500,1000,50,3,1,5000,1,1,40,1
6000,15000,40,2,2,10000,2,2,115,1
8500,1200,90,4,1,12000,0,0,-5,0
0,0,0,0,0,0,0,0,0,0
14000,3000,80,6,1,20000,0,1,35,0
2200,5000,15,1,5,12000,6,3,98,1
9000,2000,88,4,2,15000,0,2,25,0
11000,25000,45,3,3,35000,3,2,85,1
16500,1500,92,8,1,25000,0,1,15,0
